date,description
2026-01-15,National Procrastination Day
2026-02-28,Imaginary Leap Day (Observed)
2026-03-14,Pi Approximation Day
2026-04-01,Department of Suspicious Memos
2026-05-04,Galactic Federation Recognition Day
2026-06-17,World Loud Sigh Awareness Day
2026-07-22,Founders Day - Acme Widgets Inc
2026-08-08,Annual Beanbag Reshuffle
2026-09-02,Day After Labor Day Recovery
2026-10-31,All Saints Eve Half-Day
2026-11-11,Veterans of the Spreadsheet Wars
2026-12-23,Pre-Christmas Inventory Closure
2026-12-24,Christmas Eve Half-Day
2026-12-25,Christmas Day
2026-12-31,Year-End Hibernation
